Week;El_App_WT
5223;274.25246
5224;273.92490
5225;282.91448
5226;294.52287
5227;281.44224
5228;269.60432
5229;251.51380
5230;233.81180
5231;213.41406
5232;190.03412
5233;196.49077
5234;215.72048
5235;215.65493
5236;215.24098
5237;225.90888
5238;236.59980
5239;220.09368
5240;205.15788
5241;204.55630
5242;194.52930
5243;176.64284
5244;182.49484
5245;197.46206
5246;210.40332
5247;219.70907
5248;240.43531
5249;240.75391
5250;235.46381
5251;232.20819
5252;211.33560
5253;209.41873
5254;205.91726
5255;198.49232
5256;181.55277
5257;176.53078
5258;182.81383
5259;198.06758
5260;209.65458
5261;217.50555
5262;212.13731
5263;215.70745
5264;210.30711
5265;209.78475
5266;212.30970
5267;180.13116
5268;184.33779
5269;174.63821
5270;176.67254
5271;179.23833
5272;173.75304
5273;151.59121
5274;152.41592
5275;142.67748
5276;144.02114
5277;160.28706
5278;162.60622
5279;161.05058
5280;164.14267
5281;166.01564
5282;179.90052
5283;192.09465
5284;192.99107
5285;207.21632
5286;200.65573
5287;217.73695
5288;228.41125
5289;231.34391
5290;224.15573
5291;234.88331
5292;246.72695
5293;246.22985
5294;235.35397
5295;244.53008
5296;225.84942
5297;205.97801
5298;189.79423
5299;182.91510
5300;188.04806
5301;185.84881
5302;191.52035
5303;188.52645
5304;171.73262
5305;166.77577
5306;174.40258
5307;172.02034
5308;191.06464
5309;205.33872
5310;217.27183
5311;221.69980
5312;225.88627
5313;235.93168
5314;228.36161
5315;224.04891
5316;209.99777
5317;181.25807
5318;179.58588
5319;189.03991
5320;198.84080
5321;184.53003
5322;180.92655
5323;164.62490
5324;164.68219
5325;163.54080
5326;156.29415
5327;168.84174
5328;195.22724
5329;213.16202
5330;209.47243
5331;211.65584
5332;220.04486
5333;220.18735
5334;230.74356
5335;235.09202
5336;243.91714
5337;245.78238
5338;254.68205
5339;243.35581
5340;253.68635
5341;267.76260
5342;283.91720
5343;290.26473
5344;262.87775
5345;265.55543
5346;255.06745
5347;235.02155
5348;248.68499
5349;278.54873
5350;278.88496
5351;271.72389
5352;268.10575
5353;281.39983
5354;272.41308
5355;264.70578
5356;251.16137
5357;244.85416
5358;235.03759
5359;225.31923
5360;234.71592
5361;233.16381
5362;223.00102
5363;224.19224
5364;249.96190
5365;247.12020
5366;231.41234
5367;218.11032
5368;209.14125
5369;217.09837
5370;206.06809
5371;207.72578
5372;214.92734
5373;217.79367
5374;243.13317
5375;264.84766
5376;259.95403
5377;264.23487
5378;285.53142
5379;286.64796
5380;271.21692
5381;276.64756
5382;289.43963
5383;283.66201
5384;263.98316
5385;271.87749
5386;277.91425
5387;247.05782
5388;265.87475
5389;264.49474
5390;245.57176
5391;251.77711
5392;275.21463
5393;287.16414
5394;284.51985
5395;276.69661
5396;276.60074
5397;275.18953
5398;271.99636
5399;268.66094
5400;281.29279
5401;304.79705
5402;319.24313
5403;304.26572
5404;276.94824
5405;261.71734
5406;251.03322
5407;249.63928
5408;244.61684
5409;246.65045
5410;236.93322
5411;238.30297
5412;234.15273
5413;222.44563
5414;221.95270
5415;223.67217
5416;227.34094
5417;225.27072
5418;224.28950
5419;217.39458
5420;231.72050
5421;236.47789
5422;241.02718
5423;242.73357
5424;242.38744
5425;226.96647
5426;241.88050
5427;249.36087
5428;269.95552
5429;258.84792
5430;259.22624
5431;251.27980
5432;257.88437
5433;262.42157
5434;251.69404
5435;262.60258
5436;282.11830
5437;299.52373
5438;300.84966
5439;327.64528
5440;342.61192
5441;324.79870
5442;320.65575
5443;346.68819
5444;370.85108
5445;368.66233
5446;374.96426
5447;367.06478
5448;355.53987
5449;355.19661
5450;348.10719
5451;347.36418
5452;340.48302
5453;338.86493
5454;344.92144
5455;347.01454
5456;363.28379
5457;377.53244
5458;367.32645
5459;374.37501
5460;382.10951
5461;378.58850
5462;345.36182
5463;337.20683
5464;329.82445
5465;326.60329
5466;330.16795
5467;322.25367
5468;333.75449
5469;353.06774
5470;345.98137
5471;353.34979
5472;353.94091
5473;343.08410
5474;338.40716
5475;335.41884
5476;333.08198
5477;330.85053
5478;336.45560
5479;335.91744
5480;332.68404
5481;338.46737
5482;338.84443
5483;351.01620
5484;343.61729
5485;345.93144
5486;338.30308
5487;346.47324
5488;345.73966
5489;347.19665
5490;343.45755
5491;359.92341
5492;354.03377
5493;338.15014
5494;332.49070
5495;322.09694
5496;323.24760
5497;301.83772
5498;274.35011
5499;261.65603
5500;251.53302
5501;246.29908
5502;248.00943
5503;245.76827
5504;247.45926
5505;255.08885
5506;252.26498
5507;245.03138
5508;265.77785
5509;274.65413
5510;271.29537
5511;284.95034
5512;303.35895
5513;321.31159
5514;303.34841
5515;297.31443
5516;281.22808
5517;290.92926
5518;317.08485
5519;328.34165
5520;336.01936
5521;350.65599
5522;345.31906
5523;332.10087
5524;347.22252
5525;357.49658
5526;365.53715
5527;376.78760
5528;396.24684
5529;392.46366
5530;379.34764
5531;393.71606
5532;411.38619
5533;415.41856
5534;430.71629
5535;444.85839
5536;438.34812
5537;430.28478
5538;434.01659
5539;428.55395
5540;408.66652
5541;409.08419
5542;389.57004
5543;384.21307
5544;396.86948
5545;403.15438
5546;393.50935
5547;393.79640
5548;360.74225
5549;349.60754
5550;351.25219
5551;343.70897
5552;335.97365
5553;348.17588
5554;355.88512
5555;354.41348
5556;362.93114
5557;356.42498
5558;350.10606
5559;337.89002
5560;338.36973
5561;331.53126
5562;338.70169
5563;338.29339
5564;339.29803
5565;327.09000
5566;332.09506
5567;336.86911
5568;348.08371
5569;365.18652
5570;373.01620
5571;363.17694
5572;336.86828
5573;321.49197
5574;316.41360
5575;304.89421
5576;288.47667
5577;283.21450
5578;281.91540
5579;265.76218
5580;261.71337
5581;255.72063
5582;269.16313
5583;281.75565
5584;280.48480
5585;258.57538
5586;262.26822
5587;257.02710
5588;244.83581
5589;231.50986
5590;233.59925
5591;246.66960
5592;268.95043
5593;249.46034
5594;237.58337
5595;230.05085
5596;216.86239
5597;201.19798
5598;188.51307
5599;188.97281
5600;200.00334
5601;223.86720
5602;226.74396
5603;212.69546
5604;190.11762
5605;189.09016
5606;170.49622
5607;172.89585
5608;156.66551
5609;137.70276
5610;137.47643
5611;136.96840
5612;145.62105
5613;141.12936
5614;138.70625
5615;136.91343
5616;147.84475
5617;160.26105
5618;170.36767
5619;165.90181
5620;146.80641
5621;150.11617
5622;155.80028
5623;148.84949
5624;163.85593
5625;163.04763
5626;131.44620
5627;108.95473
5628;122.89427
5629;131.23250
5630;129.63480
5631;109.29061
5632;92.01973
5633;90.93688
5634;96.03065
5635;105.26318
5636;100.36579
5637;96.19996
5638;100.63499
5639;101.05114
5640;79.93285
5641;84.40773
